SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,10740 Indies Dr South,Jacksonville,FL,32246,248000,4,2.5,Sandalwood,1336,,1971,1,186,,Active,,,https://www.redfin.com/FL/Jacksonville/10740-Indies-Dr-S-32246/home/58735066,NEFLMLS,1167290,N,Y,30.3152703,-81.5216483
MLS Listing,,Single Family Residential,11467 Avery Dr,Jacksonville,FL,32218,280000,3,2.0,San Mateo,1476,,1967,1,190,,Active,,,https://www.redfin.com/FL/Jacksonville/11467-Avery-Dr-32218/home/108822594,NEFLMLS,1167284,N,Y,30.4448149,-81.626948
MLS Listing,,Single Family Residential,12366 Teal Run Ct,Jacksonville,FL,32258,340000,3,2.0,Teal Run,1436,,1987,1,237,,Active,,,https://www.redfin.com/FL/Jacksonville/12366-Teal-Run-Ct-32258/home/108836928,NEFLMLS,1167282,N,Y,30.149008,-81.5709751
MLS Listing,,Single Family Residential,1187 Pecan Cv,Jacksonville,FL,32221,299900,4,2.0,Rolling Hills Unit 5,1600,,1965,1,187,,Active,,,https://www.redfin.com/FL/Jacksonville/1187-Pecan-Cv-32221/home/108841736,NEFLMLS,1167228,N,Y,30.3017806,-81.7765019
MLS Listing,,Single Family Residential,1350 West 19th St,Jacksonville,FL,32209,96000,2,2.0,Grand Boulevard,840,,1949,1,114,,Active,,,https://www.redfin.com/FL/Jacksonville/1350-W-19th-St-32209/home/72730843,NEFLMLS,1167225,N,Y,30.3552421,-81.6771894
MLS Listing,,Single Family Residential,37 Eubanks St East,Jacksonville,FL,32218,350000,4,3.0,Duval City,1856,,1968,1,189,,Active,,,https://www.redfin.com/FL/Jacksonville/37-Eubanks-St-E-32218/home/72751702,NEFLMLS,1167211,N,Y,30.4857978,-81.62515
MLS Listing,,Single Family Residential,1457 Summit Oaks Dr West,Jacksonville,FL,32221,345000,4,2.0,Crystal Springs,2205,,2003,1,156,21,Active,,,https://www.redfin.com/FL/Jacksonville/1457-Summit-Oaks-Dr-W-32221/home/58744072,NEFLMLS,1167195,N,Y,30.2969823,-81.8190845
MLS Listing,,Single Family Residential,1829 Coldfield Dr West,Jacksonville,FL,32246,340000,3,2.0,Sutton Lakes,1510,,1999,1,225,28,Active,May-7-2022 10:00 AM,May-7-2022 01:00 PM,https://www.redfin.com/FL/Jacksonville/1829-Coldfield-Dr-W-32246/home/108838072,NEFLMLS,1163551,N,Y,30.3187472,-81.5128809
MLS Listing,,Single Family Residential,523 Worcester Ct,Jacksonville,FL,32218,325000,4,2.0,Ambridge Cove,1884,,2014,1,173,32,Active,,,https://www.redfin.com/FL/Jacksonville/523-Worcester-Ct-32218/home/72809133,NEFLMLS,1166614,N,Y,30.4632316,-81.6250216
MLS Listing,,Single Family Residential,1535 Evergreen Ave,Jacksonville,FL,32206,125000,4,2.0,Campbell Addn To Jax,1138,,1999,1,110,,Active,,,https://www.redfin.com/FL/Jacksonville/1535-Evergreen-Ave-32206/home/144381790,NEFLMLS,1166510,N,Y,30.3427275,-81.6429999
MLS Listing,,Single Family Residential,3949 Winton Dr,Jacksonville,FL,32208,195000,3,2.0,Magnolia Heights,1120,,1969,1,174,,Active,,,https://www.redfin.com/FL/Jacksonville/3949-Winton-Dr-32208/home/108250730,NEFLMLS,1166041,N,Y,30.3871368,-81.7111494
MLS Listing,,Single Family Residential,7837 Pikes Peak Dr,Jacksonville,FL,32244,275000,3,2.0,Collins Ridge,1285,,1996,1,214,,Active,,,https://www.redfin.com/FL/Jacksonville/7837-Pikes-Peak-Dr-32244/home/108785571,NEFLMLS,1165933,N,Y,30.198355,-81.7916243
MLS Listing,,Single Family Residential,4358 Jiggermast Ave,Jacksonville,FL,32277,325000,4,2.0,Point St Johns,2210,,1995,1,147,23,Active,,,https://www.redfin.com/FL/Jacksonville/4358-Jiggermast-Ave-32277/home/72752677,NEFLMLS,1167005,N,Y,30.3820489,-81.6141041
MLS Listing,,Single Family Residential,1760 Ribault Scenic Dr,Jacksonville,FL,32208,165000,4,2.0,Lake Forest Hills,1344,,1954,1,123,,Active,,,https://www.redfin.com/FL/Jacksonville/1760-Ribault-Scenic-Dr-32208/home/62465376,NEFLMLS,1166055,N,Y,30.3935469,-81.6894771
MLS Listing,,Single Family Residential,13967 Nations Eagle Ln,Jacksonville,FL,32226,315000,4,2.0,Eagles Hammock,1729,,2009,1,182,37,Active,,,https://www.redfin.com/FL/Jacksonville/13967-Nations-Eagle-Ln-32226/home/62417475,NEFLMLS,1166390,N,Y,30.4909186,-81.5640773
MLS Listing,,Single Family Residential,2558 Parental Home Rd,Jacksonville,FL,32216,249000,3,2.0,Sans Souci,1448,,1954,1,172,,Active,,,https://www.redfin.com/FL/Jacksonville/2558-Parental-Home-Rd-32216/home/72761456,NEFLMLS,1167178,N,Y,30.2776141,-81.5877255
MLS Listing,,Single Family Residential,5472 Running Creek Ln,Jacksonville,FL,32258,340000,3,2.0,Julington Crossing,1940,,1985,1,175,,Active,,,https://www.redfin.com/FL/Jacksonville/5472-Running-Creek-Ln-32258/home/62429418,NEFLMLS,1167168,N,Y,30.1480245,-81.5624813
MLS Listing,,Single Family Residential,7028 Camfield St,Jacksonville,FL,32222,289900,3,2.0,Camfield Heights,1416,,1969,1,205,,Active,,,https://www.redfin.com/FL/Jacksonville/7028-Camfield-St-32222/home/72819961,NEFLMLS,1167156,N,Y,30.219531,-81.8030281
